Module                  Size  Used by
ttm                   110592  2 amdgpu,drm_ttm_helper
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
sparse_keymap          12288  1 hp_wmi
rapl                   20480  0
drm_display_helper    278528  1 amdgpu
snd_pci_acp5x          16384  0
platform_profile       12288  1 hp_wmi
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
wmi_bmof               12288  0
snd_rn_pci_acp3x       16384  0
cec                    94208  1 drm_display_helper
cfg80211             1384448  2 rtw88_core,mac80211
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
snd_acp_config         20480  9 snd_rn_pci_acp3x,snd_pci_acp6x,snd_pci_acp5x,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_acp_pci,snd_pci_ps,snd_sof_amd_renoir
i2c_piix4              32768  0
rc_core                73728  1 cec
snd_soc_acpi           16384  3 snd_sof_amd_acp,snd_acp_config,snd_pci_ps
i2c_smbus              16384  1 i2c_piix4
k10temp                16384  0
ccp                   155648  1 kvm_amd
snd_pci_acp3x          16384  0
i2c_algo_bit           16384  1 amdgpu
soundcore              16384  2 snd_ctl_led,snd
libarc4                12288  1 mac80211
wireless_hotkey        12288  0
input_leds             12288  0
serio_raw              20480  0
joydev                 32768  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
crc32_pclmul           12288  0
ahci                   49152  2
r8169                 118784  0
libahci                53248  1 ahci
xhci_pci               24576  0
realtek                45056  1
xhci_pci_renesas       20480  1 xhci_pci
hid_multitouch         36864  0
hid_generic            12288  0
i2c_hid_acpi           12288  0
video                  77824  1 amdgpu
i2c_hid                40960  1 i2c_hid_acpi
wmi                    28672  3 hp_wmi,video,wmi_bmof
hid                   262144  3 i2c_hid,hid_multitouch,hid_generic
